序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期,卫星,小时,星期,月份,时间戳,季节_春季,半长轴_经度,控制状态_encoded,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,预测控制状态
130,2024-04-24 18:28:21,-3049.8084926108518,-0.5005580667089711,-1.0505329327717783,0.0,2024-04-24,59020,-2.1171145281754464,-1.7698324614953092,-2.0949516654869216,-45.72192334607615,True,-0.06408296821703865,0,0.11328500193310712,1.5251842063140566,1.0652581219426474,-0.5564285730358572,0.1740286752074402,0.6442514003016895,0.1059002619932953,-0.4073146165473158,1607.4745442494645,-252.54112703233994,-422.926066710851,48.34179940693944,94.79581601657071,221.49614884880026,-1487.6858973259782,-2050.1767621294316,0.0
133,2024-04-25 17:15:19,-3049.8076801822763,-0.5005672124144586,-1.0505329327717783,0.0,2024-04-25,59020,-2.144300982786976,-1.51958432294313,-2.0949516654869216,-45.72192334601386,True,-0.0542755570065606,0,0.09800649011263152,1.423697040428505,1.1056949208860711,-0.1679461073576714,-0.14119155838371386,0.5999617169247076,0.19858998767578234,-0.47557216313469214,1607.4784064896448,-252.55575818351068,-422.9160495743058,48.53222950512191,94.63370447040509,221.481353209328,-1487.670583075699,-2050.1883179154406,0.0
136,2024-04-26 17:05:56,-3049.8067401087737,-0.5005690309364494,-1.0505329327717783,0.0,2024-04-26,59020,-2.144300982786976,-1.2693361843909508,-2.0949516654869216,-45.72192334594866,True,-0.04298719135010464,0,0.09734738227607426,1.4330278093630895,1.1178882299074222,0.2086450150420658,-0.4698407483927614,0.5787667353286136,0.20280507961996178,-0.4715990060172046,1607.4857849730947,-252.5523309147995,-422.910470301095,48.720703711942946,94.46935647964912,221.47036151913937,-1487.6696540611808,-2050.1875077996424,0.0
139,2024-04-27 16:15:41,-3049.8058261920182,-0.5005767032409077,-1.0505329327717783,0.0,2024-04-27,59020,-2.171487437398506,-1.0190880458387717,-2.0949516654869216,-45.72192334588532,True,-0.03199793638555764,0,0.0823302743386561,1.3316100067178065,1.1587063758584915,0.5970994984985495,-0.785136350273376,0.5343764313564481,0.2965857462674835,-0.5384572346991546,1607.4905795477573,-252.567082950811,-422.9002276445259,48.91113121742243,94.30721319990049,221.4555502794227,-1487.653962051441,-2050.1984905434647,0.0
142,2024-04-28 17:37:36,-3049.8047129608476,-0.5005670133062113,-1.0505329327717783,3.0,2024-04-28,59020,-2.144300982786976,-0.7688399072865925,-2.0949516654869216,-45.721923345815966,True,-0.01867033082766866,2,0.09646910646578594,1.4519844686460073,1.1427607246602742,0.9617772907931118,-1.1272568486753867,0.5362451453006967,0.213010682533684,-0.461728086262166,1607.5019164224957,-252.54565236692002,-422.8989810533851,49.09764824079974,94.14061376593344,221.44835530770015,-1487.6672388924433,-2050.185046718352,0.0
144,2024-04-29 14:04:30,-3049.8038168306803,-0.5005908797481076,-1.0505329327717783,3.0,2024-04-29,59020,-2.225860346621565,-2.2703287385996673,-2.0949516654869216,-45.721923345760054,True,-0.007897979086694854,2,0.07431039125867497,1.0645076277539751,1.1930685961372842,-1.263700950535604,0.8796504050467314,0.5970971320343198,0.5231700915722177,-0.6045457793547073,1607.5126228853917,-252.62896457287306,-422.9033070854303,47.9724956485379,95.1311928476247,221.50181785279173,-1487.603314453302,-2050.186882583572,0.0
147,2024-04-30 15:15:59,-3049.8028814653926,-0.5005883444364266,-1.0505329327717783,3.0,2024-04-30,59020,-2.1986738920100355,-2.0200806000474882,-2.0949516654869216,-45.721923345691174,True,0.003300343124014293,2,0.08788887388676636,1.1845265725556606,1.176595042828607,-0.8989618371891323,0.5376716971635614,0.5991835948667872,0.43742949172820755,-0.5301591357180795,1607.5222768069727,-252.60731863026038,-422.9024648223838,48.159017399544204,94.964650540938,221.49465065443744,-1487.6172721942376,-2050.1744662121864,0.0
150,2024-05-01 13:38:18,-3049.8181742693455,-0.5005907071876265,-1.0505329327717783,3.0,2024-05-01,59020,-2.253046801233095,-1.7698324614953092,-2.0134376272135097,-45.721923345629996,True,-0.17977745278370902,2,0.010815722506493092,0.8930266054076109,1.0060383414275802,-0.4713187624918792,0.25331544380428606,0.7517297670363166,0.4921663649105357,-0.8599018677696828,1607.3702826669094,-252.64405974751008,-422.97477286829167,48.358522447885974,94.81163039921576,221.53572339806203,-1487.6388305038445,-2050.278997025217,0.0
155,2024-05-02 22:38:42,-3049.8169632119398,-0.5005787872405617,-1.0505329327717783,3.0,2024-05-02,59020,-2.008368709729328,-1.51958432294313,-2.0134376272135097,-45.72192334553974,True,-0.16547682928791177,2,0.1389346616689821,1.8970294758796076,0.7619375776644804,-0.20140202413817243,-0.1954655963346399,0.9395201904810835,-0.31141126847577427,-0.21681206740559686,1607.401159663832,-252.4770756048237,-423.01109017999977,48.52941734374417,94.6274320936783,221.5591034787356,-1487.7706860252047,-2050.1718763171853,0.0
156,2024-05-03 14:59:30,-3049.816358991074,-0.5005816676732043,-1.0505329327717783,3.0,2024-05-03,59020,-2.225860346621565,-1.2693361843909508,-2.0134376272135097,-45.72192334549504,True,-0.15818915334204928,2,0.023514923245589563,1.022869423247717,1.0012950709817388,0.27000360564636583,-0.4172830680055066,0.7327046174727285,0.4104274293120171,-0.7827513359528665,1607.3865986256615,-252.6188873533269,-422.9685233792042,48.733519804986464,94.4807634815637,221.5175747747914,-1487.6521323847644,-2050.2661980777966,0.0
